
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                    2204 Console                    1    330,940 K
chrome.exe                    9568 Console                    1     53,388 K
svchost.exe                   3728 Services                   0      6,276 K
svchost.exe                   8612 Services                   0     12,680 K
dllhost.exe                   6412 Console                    1      6,940 K
msedge.exe                    8868 Console                    1    151,688 K
msedge.exe                    2236 Console                    1      6,724 K
msedge.exe                    2940 Console                    1     70,828 K
msedge.exe                    6264 Console                    1     33,372 K
msedge.exe                    9912 Console                    1     15,932 K
msedge.exe                    9364 Console                    1     40,316 K
msedge.exe                    9068 Console                    1    105,148 K
msedge.exe                    1572 Console                    1     40,348 K
msedge.exe                    1284 Console                    1     66,092 K
LockApp.exe                  10068 Console                    1     42,844 K
RuntimeBroker.exe             7524 Console                    1     29,340 K
ShellExperienceHost.exe       3620 Console                    1     45,924 K
msedge.exe                    7276 Console                    1     19,360 K
svchost.exe                  12764 Console                    1     13,112 K
svchost.exe                  13068 Services                   0      9,396 K
msedge.exe                   11448 Console                    1     22,884 K
WhatsApp.exe                  2112 Console                    1    233,672 K
RuntimeBroker.exe            10336 Console                    1     36,524 K
chrome.exe                   12232 Console                    1    215,136 K
chrome.exe                   11948 Console                    1    287,204 K
Code.exe                     11732 Console                    1    110,620 K
Code.exe                      3224 Console                    1     31,584 K
Code.exe                      4948 Console                    1    201,308 K
Code.exe                     11248 Console                    1     41,160 K
Code.exe                      8928 Console                    1    236,208 K
Code.exe                      5832 Console                    1     89,592 K
Code.exe                      9916 Console                    1    163,348 K
Code.exe                     12636 Console                    1     86,540 K
Code.exe                      8452 Console                    1     80,084 K
conhost.exe                  10080 Console                    1      6,380 K
powershell.exe                6300 Console                    1     72,340 K
Code.exe                      6844 Console                    1    251,200 K
Code.exe                     12308 Console                    1     91,296 K
msedge.exe                    2892 Console                    1     47,804 K
WmiPrvSE.exe                 11852 Services                   0      8,828 K
chrome.exe                   13084 Console                    1     50,828 K
chrome.exe                   12228 Console                    1     26,808 K
conhost.exe                   6816 Console                    1      6,540 K
powershell.exe                8268 Console                    1     89,068 K
python.exe                   11508 Console                    1     30,224 K
svchost.exe                   8176 Services                   0      7,760 K
svchost.exe                   8184 Services                   0      7,640 K
WmiPrvSE.exe                 11416 Services                   0     10,796 K
tasklist.exe                 12348 Console                    1      9,224 K
