
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                    2912 Console                    1    103,568 K
chrome.exe                    6696 Console                    1     25,800 K
CompPkgSrv.exe                6100 Console                    1      7,096 K
svchost.exe                   9608 Services                   0     11,720 K
UserOOBEBroker.exe            8732 Console                    1      8,920 K
audiodg.exe                   9612 Services                   0     13,896 K
svchost.exe                   2572 Services                   0      8,180 K
SDXHelper.exe                 9404 Console                    1     18,376 K
chrome.exe                    4876 Console                    1     80,888 K
chrome.exe                    8496 Console                    1     57,996 K
chrome.exe                    5512 Console                    1    138,888 K
chrome.exe                    6808 Console                    1    219,716 K
chrome.exe                    2204 Console                    1    280,092 K
chrome.exe                    9568 Console                    1     57,476 K
svchost.exe                   3728 Services                   0      6,336 K
Code.exe                      2080 Console                    1     79,704 K
svchost.exe                   8612 Services                   0      8,968 K
dllhost.exe                   6412 Console                    1      6,824 K
msedge.exe                    8868 Console                    1    138,084 K
msedge.exe                    2236 Console                    1      6,436 K
msedge.exe                    2940 Console                    1     63,968 K
msedge.exe                    6264 Console                    1     33,256 K
msedge.exe                    9912 Console                    1     15,456 K
msedge.exe                    5132 Console                    1     21,560 K
msedge.exe                    9364 Console                    1     40,084 K
msedge.exe                    9068 Console                    1     84,876 K
msedge.exe                    1572 Console                    1     31,804 K
msedge.exe                    1284 Console                    1     61,188 K
msedge.exe                    4692 Console                    1     21,648 K
LockApp.exe                  10068 Console                    1     42,476 K
RuntimeBroker.exe             7524 Console                    1     29,516 K
ShellExperienceHost.exe       3620 Console                    1     46,652 K
WhatsApp.exe                  9320 Console                    1    262,420 K
RuntimeBroker.exe             8108 Console                    1     36,044 K
chrome.exe                    7412 Console                    1    270,872 K
chrome.exe                    4344 Console                    1    120,604 K
chrome.exe                   12812 Console                    1     60,512 K
chrome.exe                   13148 Console                    1    140,264 K
chrome.exe                   13228 Console                    1     70,616 K
chrome.exe                   12360 Console                    1     98,304 K
chrome.exe                   11784 Console                    1     16,812 K
chrome.exe                   12036 Console                    1     65,912 K
chrome.exe                   11752 Console                    1     73,664 K
chrome.exe                   11768 Console                    1     63,076 K
chrome.exe                   12472 Console                    1     64,928 K
chrome.exe                   12532 Console                    1     68,048 K
chrome.exe                   12584 Console                    1     75,044 K
chrome.exe                   12096 Console                    1     59,128 K
chrome.exe                   12100 Console                    1     66,880 K
chrome.exe                   12276 Console                    1     58,108 K
chrome.exe                    8288 Console                    1     58,744 K
chrome.exe                    9900 Console                    1     61,736 K
chrome.exe                   10820 Console                    1     66,868 K
chrome.exe                    7384 Console                    1     61,652 K
chrome.exe                    5380 Console                    1     59,204 K
chrome.exe                    7468 Console                    1     59,512 K
chrome.exe                   10872 Console                    1     58,560 K
chrome.exe                   11480 Console                    1     57,748 K
chrome.exe                   10736 Console                    1    203,412 K
chrome.exe                    1156 Console                    1     26,012 K
conhost.exe                   7864 Console                    1      6,760 K
powershell.exe               10244 Console                    1     80,644 K
cmd.exe                       9936 Console                    1      4,396 K
conhost.exe                  12192 Console                    1     19,960 K
svchost.exe                  12140 Services                   0      7,600 K
svchost.exe                  12764 Services                   0      7,744 K
python.exe                   11648 Console                    1     10,092 K
WmiPrvSE.exe                  1448 Services                   0     10,880 K
svchost.exe                  13116 Services                   0     16,444 K
tasklist.exe                 10920 Console                    1      9,240 K
