
Image Name                     PID Session Name        Session#    Mem Usage
chrome.exe                    2912 Console                    1     97,392 K
chrome.exe                    6696 Console                    1     25,824 K
CompPkgSrv.exe                6100 Console                    1      7,060 K
svchost.exe                   9608 Services                   0     11,732 K
UserOOBEBroker.exe            8732 Console                    1      8,896 K
audiodg.exe                   9612 Services                   0     13,916 K
svchost.exe                   2572 Services                   0      8,112 K
SDXHelper.exe                 9404 Console                    1     18,480 K
chrome.exe                    4876 Console                    1     73,608 K
chrome.exe                    8496 Console                    1     58,016 K
chrome.exe                    5512 Console                    1    138,428 K
chrome.exe                    6808 Console                    1    234,896 K
chrome.exe                    2204 Console                    1    261,340 K
chrome.exe                    9568 Console                    1     60,052 K
svchost.exe                   3728 Services                   0      6,328 K
Code.exe                      2080 Console                    1     79,764 K
svchost.exe                   8612 Services                   0      9,004 K
dllhost.exe                   6412 Console                    1      6,816 K
msedge.exe                    8868 Console                    1    138,692 K
msedge.exe                    2236 Console                    1      6,688 K
msedge.exe                    2940 Console                    1     66,368 K
msedge.exe                    6264 Console                    1     33,324 K
msedge.exe                    9912 Console                    1     15,584 K
msedge.exe                    5132 Console                    1     22,140 K
msedge.exe                    9364 Console                    1     40,156 K
msedge.exe                    9068 Console                    1     83,580 K
msedge.exe                    1572 Console                    1     32,304 K
msedge.exe                    1284 Console                    1     66,032 K
LockApp.exe                  10068 Console                    1     42,484 K
RuntimeBroker.exe             7524 Console                    1     29,532 K
ShellExperienceHost.exe       3620 Console                    1     50,444 K
chrome.exe                    7412 Console                    1    264,304 K
chrome.exe                    4344 Console                    1    119,736 K
chrome.exe                   12812 Console                    1     59,804 K
chrome.exe                   13148 Console                    1    144,912 K
chrome.exe                   13228 Console                    1     61,852 K
chrome.exe                   12360 Console                    1    104,108 K
chrome.exe                   11784 Console                    1     16,832 K
chrome.exe                   12036 Console                    1     71,200 K
chrome.exe                   11752 Console                    1     70,100 K
chrome.exe                   11768 Console                    1     71,928 K
chrome.exe                   12472 Console                    1     64,908 K
chrome.exe                   12532 Console                    1     59,400 K
chrome.exe                   12584 Console                    1     65,520 K
chrome.exe                   12096 Console                    1     57,280 K
chrome.exe                   12100 Console                    1     64,960 K
chrome.exe                   12276 Console                    1     55,960 K
chrome.exe                    8288 Console                    1     56,508 K
chrome.exe                    9900 Console                    1     61,548 K
chrome.exe                   10820 Console                    1     70,396 K
chrome.exe                    7384 Console                    1     60,344 K
chrome.exe                    5380 Console                    1     56,704 K
chrome.exe                    7468 Console                    1     57,588 K
chrome.exe                   10872 Console                    1     56,364 K
chrome.exe                   11480 Console                    1     56,524 K
chrome.exe                   10736 Console                    1    203,264 K
conhost.exe                   7864 Console                    1      6,692 K
powershell.exe               10244 Console                    1     69,012 K
Taskmgr.exe                   4080 Console                    1     56,500 K
chrome.exe                   11896 Console                    1     27,500 K
svchost.exe                   8948 Services                   0      7,556 K
msedge.exe                    7276 Console                    1     20,684 K
svchost.exe                  13104 Services                   0      7,796 K
svchost.exe                  10456 Services                   0      8,224 K
WhatsApp.exe                 11212 Console                    1    187,208 K
RuntimeBroker.exe             4348 Console                    1     33,456 K
WmiPrvSE.exe                  1560 Services                   0      9,548 K
python.exe                   11284 Console                    1     18,020 K
tasklist.exe                  5540 Console                    1      9,248 K
WmiPrvSE.exe                  2068 Services                   0      9,792 K
